Date,Adj Close,Close,High,Low,Open,Volume
2022-01-03,144.55508422851562,145.07449340820312,145.5500030517578,143.50250244140625,144.47549438476562,25214000
2022-01-04,143.8994598388672,144.41650390625,146.61000061035156,143.81614685058594,145.55050659179688,22928000
2022-01-05,137.16067504882812,137.65350341796875,144.29800415039062,137.52349853515625,144.18099975585938,49642000
2022-01-06,137.0585479736328,137.55099487304688,139.68600463867188,136.7635040283203,137.49749755859375,29050000
2022-01-07,136.5139923095703,137.00450134277344,138.25474548339844,135.78900146484375,137.90499877929688,19408000
2022-01-10,138.077880859375,138.57400512695312,138.63999938964844,133.1405029296875,135.0989990234375,34096000
2022-01-11,139.51620483398438,140.0175018310547,140.32949829101562,136.81350708007812,138.1804962158203,23502000
2022-01-12,141.14085388183594,141.6479949951172,142.8142547607422,141.11199951171875,141.55450439453125,23642000
2022-01-13,138.6328887939453,139.13099670410156,143.1855010986328,138.91400146484375,141.8404998779297,26566000
2022-01-14,139.28602600097656,139.7864990234375,141.20050048828125,137.5,137.5,23826000
2022-01-18,135.8025360107422,136.29049682617188,137.39149475097656,135.61700439453125,136.60000610351562,27382000
2022-01-19,135.16632080078125,135.65199279785156,138.39950561523438,135.5,136.93850708007812,20796000
2022-01-20,133.0285186767578,133.50650024414062,137.91200256347656,133.14450073242188,136.51400756835938,21930000
2022-01-21,129.62623596191406,130.0919952392578,134.760498046875,130.00100708007812,133.01199340820312,41920000
2022-01-24,129.9052276611328,130.3719940185547,130.77850341796875,124.64195251464844,126.02749633789062,55148000
2022-01-25,126.28175354003906,126.7354965209961,129.3385009765625,126.37799835205078,128.4355010986328,36008000
2022-01-26,128.7772979736328,129.24000549316406,132.8074951171875,127.15350341796875,130.59249877929688,39630000
2022-01-27,128.65870666503906,129.12100219726562,132.60995483398438,128.94500732421875,131.36099243164062,30248000
2022-01-28,132.81228637695312,133.2895050048828,133.37049865722656,128.6945037841797,130.0,30518000
2022-01-31,135.21267700195312,135.69850158691406,135.843505859375,132.2740020751953,134.197998046875,34056000
2022-02-01,137.3848419189453,137.8784942626953,138.1999969482422,134.56825256347656,137.8350067138672,51204000
2022-02-02,147.50648498535156,148.0364990234375,152.10000610351562,145.5574951171875,151.86349487304688,89750000
2022-02-03,142.13978576660156,142.65049743652344,149.11770629882812,142.2050018310547,145.2949981689453,56930000
2022-02-04,142.50396728515625,143.01600646972656,144.53524780273438,139.8175048828125,143.01699829101562,49224000
2022-02-07,138.44056701660156,138.93800354003906,143.84649658203125,138.69900512695312,143.70899963378906,44610000
